time,value
2024-02-23T00:06:11.997498019Z,870.9000244140625
2024-02-23T00:06:26.96641396Z,870.7999877929688
2024-02-23T00:06:46.969165521Z,870.9000244140625
2024-02-23T00:08:07.444137738Z,870.7999877929688
2024-02-23T00:08:26.995527519Z,870.9000244140625
2024-02-23T00:09:07.007564705Z,870.7999877929688
2024-02-23T00:09:47.385274094Z,870.9000244140625
2024-02-23T00:10:27.035782175Z,871
2024-02-23T00:10:47.042343332Z,870.9000244140625
2024-02-23T00:11:07.049721891Z,871
2024-02-23T00:11:27.330181834Z,870.9000244140625
2024-02-23T00:11:47.059345354Z,870.7999877929688
2024-02-23T00:13:47.12208468Z,870.9000244140625
2024-02-23T00:14:07.129279575Z,870.4000244140625
2024-02-23T00:14:27.555405896Z,870.5
2024-02-23T00:14:47.149175896Z,845.7000122070312
2024-02-23T00:15:07.154216356Z,870.5
2024-02-23T00:15:27.16232095Z,870.5999755859375
2024-02-23T00:16:07.189374697Z,870.7000122070312
2024-02-23T00:16:27.197187536Z,870.5999755859375
2024-02-23T00:17:27.372441351Z,870.5
2024-02-23T00:17:47.223373163Z,870.7000122070312
2024-02-23T00:18:27.23820977Z,870.5999755859375
2024-02-23T00:18:47.65518405Z,870.7000122070312
2024-02-23T00:19:07.293200722Z,870.5999755859375
2024-02-23T00:19:27.298825208Z,870.7000122070312
2024-02-23T00:19:47.306921705Z,870.5999755859375
2024-02-23T00:20:07.315180638Z,870.7000122070312
2024-02-23T00:21:07.741060404Z,871.0999755859375
2024-02-23T00:21:27.371427129Z,845.5
2024-02-23T00:21:47.449481926Z,0
2024-02-23T00:23:11.921398119Z,0
2024-02-23T00:25:34.866884658Z,0
2024-02-23T00:25:49.308228086Z,819.7999877929688
2024-02-23T00:27:03.422177734Z,819.7999877929688
2024-02-23T00:27:19.556141981Z,33.29999923706055
2024-02-23T00:27:39.562747806Z,33.5
2024-02-23T00:27:59.575034211Z,34
2024-02-23T00:28:19.583631639Z,33.5
2024-02-23T00:29:39.617700076Z,33.599998474121094
2024-02-23T00:29:59.623955856Z,33.70000076293945
2024-02-23T00:30:39.960013182Z,33.79999923706055
2024-02-23T00:30:59.661877726Z,33.900001525878906
2024-02-23T00:31:39.685076624Z,34
2024-02-23T00:31:59.701111112Z,86.5999984741211
2024-02-23T00:32:19.903859517Z,81.30000305175781
2024-02-23T00:32:39.715065425Z,60.20000076293945
2024-02-23T00:32:59.728030558Z,38.79999923706055
2024-02-23T00:33:19.75402825Z,36.79999923706055
2024-02-23T00:33:40.191138091Z,36.29999923706055
2024-02-23T00:33:59.768802624Z,36
2024-02-23T00:34:19.785873899Z,35.79999923706055
2024-02-23T00:34:39.792169472Z,35.70000076293945
2024-02-23T00:34:59.801103872Z,35.599998474121094
2024-02-23T00:35:20.131639357Z,71.80000305175781
2024-02-23T00:35:39.81817694Z,95
2024-02-23T00:35:59.847205574Z,58.5
2024-02-23T00:36:19.842703549Z,39.5
2024-02-23T00:36:40.004774028Z,37.099998474121094
2024-02-23T00:36:59.862867658Z,36.400001525878906
2024-02-23T00:37:19.872705943Z,36.099998474121094
2024-02-23T00:37:39.883085759Z,36
2024-02-23T00:37:59.908612733Z,35.79999923706055
2024-02-23T00:38:20.357643565Z,35.599998474121094
2024-02-23T00:38:39.913532292Z,35.5
2024-02-23T00:38:59.925941661Z,35.400001525878906
2024-02-23T00:39:40.230812671Z,35.29999923706055
2024-02-23T00:40:19.963718635Z,35
2024-02-23T00:40:39.979657403Z,35.099998474121094
2024-02-23T00:40:59.993964323Z,35
2024-02-23T00:41:40.254779162Z,34.900001525878906
2024-02-23T00:42:20.046747675Z,34.79999923706055
2024-02-23T00:43:20.196180238Z,35
2024-02-23T00:43:40.104982434Z,34.900001525878906
2024-02-23T00:44:00.130755205Z,34.70000076293945
2024-02-23T00:44:40.483701285Z,34.599998474121094
2024-02-23T00:45:00.165650593Z,34.5
